id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,reply_settings,text,hashtags,hashtag_count,uppercase_count,uppercase_pct,exclamation_mark_count,question_mark_count,url_count,mention_count,emojie_count,followers_count,engagement_score,sentiment_score,sentiment_category,avg_replies_sentiment,avg_quotes_sentiment,avg_conversation_sentiment,var_replies_sentiment,var_quotes_sentiment,var_conversation_sentiment,pct_similar_sentiment_replies,pct_similar_sentiment_quotes,clean_text,var_replies_semantic,var_quotes_semantic,var_conversation_semantic
1553854361725542401,37209193,1553854361725542401,2022-07-31T21:25:23.000Z,en,0,0,0,0,everyone,"Nine justices issued opinions on reproduction, religion, gun rights, environment, their defense correcting constitutional jurisprudence. What's next...""independent state legislature theory."" Democrats it's now or never! #VoteBlue2022  https://t.co/eMMr4hB5Kk",['VoteBlue2022'],1,0,4,1,0,1,0,0,11385.0,0.0,-0.2942,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nine justice issued opinion reproduction religion gun right environment defense correcting constitutional jurisprudence whats nextindependent state legislature theory democrats never voteblue2022,0.0,0.0,0.0
1553559197249421314,1347304592380465152,1553559197249421314,2022-07-31T01:52:31.000Z,en,0,0,1,0,everyone,This fight is responsible for global warming and environmental collapse.,[],0,0,2,0,0,0,0,0,979.0,0.0010204081632653062,-0.4404,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,this fight responsible global warming environmental collapse,0.0,0.0,0.0
1553747332109217793,4303485095,1553747332109217793,2022-07-31T14:20:05.000Z,en,0,0,0,0,everyone,A snapshot of News Corp's loudest climate change denialists via @crikey_news https://t.co/lM2nHFKX09How did it become the norm to ridicule scientists and media outlets that report on climate change?,[],0,1,5,0,1,1,1,0,3052.0,0.0,-0.4588,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a snapshot news corps loudest climate change denialists via become norm ridicule scientist medium outlet report climate change,0.0,0.0,0.0
1553685857416224769,19021930,1553685857416224769,2022-07-31T10:15:49.000Z,en,0,0,0,0,everyone,Why Louvre's Mona Lisa keeps a smile: Paris' cooling system (from @AP) #CoolingParis #renewableenergy #climatechange  https://t.co/niPqBdT2Ko,"['CoolingParis', 'renewableenergy', 'climatechange']",3,1,10,0,0,1,1,0,1939.0,0.0,0.3612,Positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,why louvres mona lisa keep smile paris cooling system coolingparis renewableenergy climatechange,0.0,0.0,0.0
1553688471910244352,2940244262,1553688471910244352,2022-07-31T10:26:12.000Z,en,0,2,2,0,everyone,"Today, while supporting the yes vote, I was called a fool by a guy who thinks scientists are faking climate change.",[],0,1,2,0,0,0,0,0,43.0,0.09090909090909091,-0.0258,Neutral,0.148,0.0,0.148,0.04380799999999999,0.0,0.04380799999999999,50.0,0.0,today supporting yes vote i called fool guy think scientist faking climate change,0.04380799999999999,0.0,0.04380799999999999
1553812954532962306,1549628425459142658,1553812954532962306,2022-07-31T18:40:51.000Z,en,0,0,0,0,everyone,"If you don’t believe in global warming/climate change, get fucked.",[],0,0,2,0,0,0,0,0,564.0,0.0,-0.6597,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,if dont believe global warmingclimate change get fucked,0.0,0.0,0.0
1553620507639123968,1347149622679015431,1553620507639123968,2022-07-31T05:56:08.000Z,en,0,0,0,0,everyone,Can These Marine Viruses Slow Climate Change?https://t.co/91rrXOl6rD #byjUs  #onlinelearning,"['byjUs', 'onlinelearning']",2,0,13,0,1,1,0,0,71.0,0.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,can these marine viruses slow climate change byjus onlinelearning,0.0,0.0,0.0
1553734717110755329,968179063641686016,1553734717110755329,2022-07-31T13:29:58.000Z,en,1,0,2,0,everyone,"""...the combination of higher taxes and a rush of hundreds of billions of dollars in new federal spending lands on the wrong side of both parts of our don’t-call-it-a-recession stagflation...""#Bidenflationhttps://t.co/wt8efEwq8F",['Bidenflationhttps'],1,0,2,0,0,1,0,0,3178.0,0.0009436929852154766,-0.4767,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,combination higher tax rush hundred billion dollar new federal spending land wrong side part dontcallitarecession stagflationbidenflation,0.0,0.0,0.0
1553822326948372480,1442408319608516614,1553822326948372480,2022-07-31T19:18:06.000Z,en,0,0,0,0,everyone,"Ay yo ma I would like nuclear fusion to become a practical power source. It would provide an inexhaustible supply of energy, without pollution or global warming. Being stupid should be a crime",[],0,1,2,0,0,0,0,0,9.0,0.0,-0.4019,Negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ay yo i would like nuclear fusion become practical power source it would provide inexhaustible supply energy without pollution global warming being stupid crime,0.0,0.0,0.0
1553769044121382912,989922602742239233,1553769044121382912,2022-07-31T15:46:22.000Z,en,0,0,0,0,everyone,nearly 7K ppl following #Pelosi flying around in AF1 climate change...zoom calls are for plebs. https://t.co/gIjRaAPskp,['Pelosi'],1,0,8,0,0,1,0,0,564.0,0.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nearly 7k ppl following pelosi flying around af1 climate changezoom call pleb,0.0,0.0,0.0
