id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,referenced_tweets,text,reference_tweet_id
1553854334055501825,15293354,1553854334055501825,2022-07-31T21:25:17.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1553797082670047233'}]","Accurate...    ""I'll allow it"" https://t.co/83tBnxsAcp",1553797082670047233
1553855832391143426,18080108,1553855832391143426,2022-07-31T21:31:14.000Z,en,18,7,58,0,"[{'type': 'quoted', 'id': '1553852049124728833'}]",Love the idea of making my life worse in an attempt to prevent an unmeasurable amount of CO2 from warming the Earth an unmeasurable fraction of a degree that will change water visibility an unmeasurable amount that will make it unmeasurably more difficult for birds to kill fish https://t.co/dnJghjBg1W,1553852049124728833
1553861688033947648,1206376298160852994,1553858053057171456,2022-07-31T21:54:30.000Z,en,1,0,7,0,"[{'type': 'quoted', 'id': '1553543558543691776'}, {'type': 'replied_to', 'id': '1553858053057171456'}]",@TheKouk Silent = on CNBC all the timehttps://t.co/5258edNw50,1553543558543691776
1553546015646662660,46214091,1553546015646662660,2022-07-31T01:00:08.000Z,und,0,0,0,0,"[{'type': 'quoted', 'id': '1553543558543691776'}]",hmm @HerbWiseman @adamsmith_TO https://t.co/bCW6uC7CbZ,1553543558543691776
1556923334327164928,4783507996,1556898620317786113,2022-08-09T08:40:23.000Z,en,1,1,1,0,"[{'type': 'quoted', 'id': '1556897831054901248'}, {'type': 'replied_to', 'id': '1556898620317786113'}]",Cowfart Change.https://t.co/rDDRaRjfwb,1556897831054901248
1556898225646436355,1534226184548106241,1556829500071092224,2022-08-09T07:00:37.000Z,qme,0,0,1,0,"[{'type': 'quoted', 'id': '1556897831054901248'}, {'type': 'replied_to', 'id': '1556829500071092224'}]",@richardursomd https://t.co/7z2C8wy3Ya,1556897831054901248
1557216339206762497,1107004848489168896,1557216339206762497,2022-08-10T04:04:41.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1556809159991230464'}]","Their ABC is like a drug addict, obsessed with getting its next fix so it can pass on sensational but duplicitous 'news'. https://t.co/ENiFwyWSdj",1556809159991230464
1556960318668288001,1491822061169553413,1556960318668288001,2022-08-09T11:07:21.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1556809159991230464'}]",What a load of false bollocks https://t.co/apar9mIcDH,1556809159991230464
1556959343483961346,1388803689943642112,1556959343483961346,2022-08-09T11:03:29.000Z,zxx,0,0,1,0,"[{'type': 'quoted', 'id': '1556809159991230464'}]",https://t.co/uv35WeocTr https://t.co/Jiasqix1s2,1556809159991230464
1556903236279607296,1602644497,1556903236279607296,2022-08-09T07:20:32.000Z,en,0,0,0,0,"[{'type': 'quoted', 'id': '1556809159991230464'}]","Serious misunderstanding of geological processes, below ground level. No way is it related to undefined ‘global warming’. Unbelievable ignorance from the ABC. #climate #ABC https://t.co/3BkmvhTjS1",1556809159991230464
