id,author_id,conversation_id,created_at,lang,retweet_count,reply_count,like_count,quote_count,referenced_tweets,text,reference_tweet_id
1553766209103007744,1287425868156076032,1553727493349195776,2022-07-31T15:35:06.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1553727493349195776'}]","@acespace @geoyapti Who owns Dollar Tree, Target &amp; who makes products. John Z ProsiseUSA Jeep Made in China ? WTF !! USA Today --Jeep Automotive pulls out of China over government meddling in its business ..so where are they going next ,,Maybe the Ta Ta in IndiaBloomberg - 18h ago",1553727493349195776
1553765265174937602,1287425868156076032,1553727493349195776,2022-07-31T15:31:21.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553727493349195776'}]","@acespace @geoyapti Stop uncontrolled growth. Stop removal of trees, grass, beaches &amp; bays for Private Development &amp; Hotel Development Projects. RECALL your Mayors &amp; councils. Va. Failed to RECALL Northam/McAuliffe. America flooding is filled with Toxic Water &amp; Toxic DEBT!",1553727493349195776
1553815766914535426,820312671488802817,1553723425021202433,2022-07-31T18:52:01.000Z,en,0,1,1,0,"[{'type': 'replied_to', 'id': '1553723425021202433'}]",@EmReed01 It’s a proper eye opener isn’t it? Need a week to recover before the last episode 😟,1553723425021202433
1553730327872503808,1361390263374123010,1553730098599174144,2022-07-31T13:12:31.000Z,en,0,0,2,0,"[{'type': 'replied_to', 'id': '1553730098599174144'}]",Yes I’m slandering Bradley Zimmer at 9 am. This has been your daily Zimmer slander session.,1553730098599174144
1553536136961826827,1530561961192312832,1553535847366299648,2022-07-31T00:20:53.000Z,en,0,1,1,0,"[{'type': 'replied_to', 'id': '1553535847366299648'}]","@JulianCribb @physorg_com As Groucho used to say: ""my sediments, exactly.""",1553535847366299648
1553643538277191682,150765013,1553643535890612224,2022-07-31T07:27:39.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1553643535890612224'}]","The 2009 study found approximately 89%of the stations used by the National Oceanic&amp;Atmospheric Administration (NOAA)to calculate average U.S.temperatures failed to meet the National Weather Service’s (NWS)siting standards, which stipulate stations must be 30 meters (100 feet) or",1553643535890612224
1553788197108420608,1011491769924669441,1553647607733313536,2022-07-31T17:02:28.000Z,en,0,0,1,0,"[{'type': 'replied_to', 'id': '1553647607733313536'}]","@RedcrossUganda reports that over 480 households have been affected in #Sironko District. No Death has been registered.July 31, 2022 #Uganda",1553647607733313536
1553691436075388929,116723703,1553647607733313536,2022-07-31T10:37:59.000Z,und,0,0,1,0,"[{'type': 'replied_to', 'id': '1553647607733313536'}]",@GggiUganda @KizzaMariah @WomenClimate1 @climateactionEA @CCD_UG @gggi_hq @Vanny_Namayanja @DagmarZwebe @DKinUganda @aronwerikhe sad!,1553647607733313536
1553650830816993282,1464752410279116802,1553647607733313536,2022-07-31T07:56:38.000Z,en,1,0,9,2,"[{'type': 'replied_to', 'id': '1553647607733313536'}]","@GggiUganda @KizzaMariah @WomenClimate1 @climateactionEA @CCD_UG @gggi_hq @Vanny_Namayanja @DagmarZwebe @DKinUganda @aronwerikhe Soil erosion and lack of vegetation on river banks destabilise river embankments , resulting in flush flooding. It requires an integrated  watershed management combined with regeneration of soil and reforestation to minimise flush flooding.",1553647607733313536
1553839483421876226,199747679,1553822989405376515,2022-07-31T20:26:16.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553822989405376515'}]","@NYTScience ""Second, flash flooding will continue to increase as there are more extreme precipitation events.""  And you'll never forget your first one. Like 1/11/11 in Brazil that killed about 1,000 people over an area the size of northern Illinois.",1553822989405376515
1553833475249262594,68433404,1553822989405376515,2022-07-31T20:02:23.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553822989405376515'}]",@NYTScience Stop doing this. Starting the tweet with doubt on a story about climate change. Climate change affects all floods now. ALL OF THEM. You write like a paper that takes fossil fuel money. Stop sowing doubt. Folks are drowning.,1553822989405376515
1553892287750569984,1329925308947034113,1553830835480043520,2022-07-31T23:56:05.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553830835480043520'}]",@BadgerCrowd Never say never!!,1553830835480043520
1553724963869319168,1377430562479165441,1553720479877419008,2022-07-31T12:51:12.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553720479877419008'}]",@k0nklz @VoiceHQ I love your girls 😍😍,1553720479877419008
1553723466028924929,1447974117722963973,1553720479877419008,2022-07-31T12:45:15.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1553720479877419008'}]",@k0nklz @VoiceHQ Beautiful ❤️,1553720479877419008
1553672338113183745,191397006,1553665860627304449,2022-07-31T09:22:05.000Z,en,0,1,0,0,"[{'type': 'replied_to', 'id': '1553665860627304449'}]",@SamoraFortune Climate change is one of the root cause of our present insecurity issues,1553665860627304449
1553684445084934146,1024618634306625537,1553684296921239552,2022-07-31T10:10:12.000Z,qme,0,0,1,0,"[{'type': 'replied_to', 'id': '1553684296921239552'}]",@JJFHypothesis #JJFHypothesis #SkullTalk https://t.co/jnW5yupvry,1553684296921239552
1553886161881296896,35249516,1553876912824532993,2022-07-31T23:31:45.000Z,en,0,0,0,0,"[{'type': 'replied_to', 'id': '1553876912824532993'}]",@SCE And no doubt costing me more money for my solar powered home.,1553876912824532993
